Date,06EAP-138,06LAA-138,06RRD-138,07IVY-230,07OMS-230,09LBR-230
4/5/2016,607.0816667,613.394375,597.9525,342.9104167,349.37125,611.91625
4/6/2016,607.27875,613.9072917,601.5791667,314.6404167,323.4608333,609.0245833
4/7/2016,632.49625,639.7510417,629.3145833,310.9858333,318.23875,611.08
4/8/2016,638.4116667,645.89375,639.0658333,315.33625,321.9608333,643.9658333
4/9/2016,619.3695833,625.5314583,615.1170833,317.6929167,325.19,630.7570833
4/10/2016,572.4329167,578.1920833,570.5220833,307.26125,310.92625,625.8495833
4/11/2016,785.3170833,793.51625,795.8316667,316.6979167,326.53375,837.38375
4/12/2016,637.75375,645.5272917,635.5483333,317.2854167,327.2125,695.6308333
4/13/2016,677.065,685.52375,672.0454167,309.3345833,316.61125,702.6929167
4/14/2016,633.0641667,639.0185417,629.9766667,337.87375,346.4745833,657.3808333
4/15/2016,809.3891667,816.97125,806.0904167,329.5429167,335.755,885.5683333
4/16/2016,693.1758333,701.0791667,686.4683333,327.9445833,336.205,768.0975
4/17/2016,568.7070833,575.3741667,569.3845833,306.4491667,311.0079167,644.8779167
4/18/2016,704.0595833,713.324375,709.7829167,322.9975,331.8454167,760.4483333
4/19/2016,660.9991667,668.6016667,664.4845833,341.2604167,351.9333333,693.7020833
4/20/2016,705.4770833,713.1685417,706.88,372.1329167,381.2208333,726.4070833
4/21/2016,655.54625,662.4077083,666.0391667,372.6095833,380.4325,698.6683333
4/22/2016,640.0941667,647.0804167,654.1291667,386.395,394.605,664.74375
4/23/2016,641.0979167,646.7091667,647.5108333,333.9433333,342.2120833,683.6125
4/24/2016,591.7570833,597.2347917,601.8170833,320.4745833,325.7570833,708.8654167
4/25/2016,667.2316667,675.345625,688.5970833,333.6070833,341.5916667,710.7575
4/26/2016,683.06875,692.2785417,710.0708333,342.1325,351.30875,797.6558333
4/27/2016,700.3408333,709.4770833,710.8579167,343.28625,351.08625,752.0491667
4/28/2016,667.4754167,675.4814583,675.8245833,326.59,335.41125,635.3658333
4/29/2016,738.3425,746.9904167,749.2391667,332.20625,341.91625,755.8179167
4/30/2016,684.3020833,699.1125,681.935,330.7929167,340.1904167,699.3716667
5/1/2016,663.09875,682.5770833,667.5491667,303.1054167,311.1070833,774.3741667
5/2/2016,775.1079167,785.4970833,804.1175,304.4429167,313.3491667,897.9325
5/3/2016,775.16375,785.155625,789.47375,339.7475,349.8708333,850.25625
5/4/2016,685.0391667,692.0558333,694.64625,322.4275,330.59625,794.87875
5/5/2016,747.57625,754.9297917,748.08125,333.26625,343.1045833,835.4566667
5/6/2016,733.7316667,742.1504167,731.0795833,336.04375,346.9483333,789.02625
5/7/2016,705.46375,712.265,710.755,333.5066667,341.3816667,783.6295833
5/8/2016,620.0433333,623.9820833,617.42125,333.2204167,340.9191667,712.2666667
5/9/2016,718.4766667,726.778125,739.14,299.1308333,307.6933333,834.96625
5/10/2016,701.0229167,709.2997917,718.3254167,335.0258333,344.6020833,822.59125
5/11/2016,777.8075,786.6716667,804.10625,344.5208333,352.2970833,888.1029167
5/12/2016,767.88625,771.1666667,797.9791667,425.5595833,434.1033333,885.99125
5/13/2016,747.88125,752.7560417,753.1010417,500.21,512.3291667,815.3695833
5/14/2016,658.8195833,665.7458333,673.6758333,467.8108333,472.1404167,732.4104167
5/15/2016,608.8666667,613.6941667,610.7991667,423.5104167,431.2758333,656.81375
5/16/2016,552.8666667,554.184375,556.47625,425.3425,435.3366667,570.9891667
5/17/2016,705.7379167,706.3770833,708.300625,404.64125,414.8691667,799.33625
5/18/2016,765.66625,771.4914583,790.0191667,431.8408333,437.7320833,867.83625
5/19/2016,690.3110417,692.175,700.8554167,440.4025,447.5879167,828.8004167
5/20/2016,729.4675,729.789375,665.8689583,443.5191667,452.2641667,888.9995833
5/21/2016,731.6291667,738.18,751.525,303.6225,310.3016667,882.2320833
5/22/2016,625.39,631.3627083,628.7325,291.3620833,296.98,731.16
5/23/2016,1165.961667,1174.91875,1174.641458,294.7325,301.5283333,1254.201667
5/24/2016,1175.635417,1181.416875,1181.98,305.2833333,312.6758333,1618.952917
5/25/2016,2328.857083,2348.83625,2366.441042,334.3191667,340.9141667,3344.6075
5/26/2016,2245.140833,2255.392083,2293.843542,329.705,334.5820833,3176.54875
5/27/2016,961.1308333,965.750625,977.9220833,309.6816667,314.5704167,1234.910417
5/28/2016,779.5710417,792.65875,790.0714583,324.51375,326.11375,1031.034167
5/29/2016,679.0166667,695.1866667,669.2416667,339.9570833,342.7775,942.0070833
5/30/2016,974.8510417,984.1314583,968.5260417,387.8420833,388.9441667,1281.744167
5/31/2016,816.4958333,821.7916667,805.455,417.99,419.26625,1084.706667
6/1/2016,756.776875,756.3477083,763.085,471.0829167,463.41,995.8545833
6/2/2016,792.8147917,791.3508333,801.7366667,572.3016667,558.83875,1031.605
6/3/2016,848.238125,847.1822917,854.59875,582.08375,567.6883333,1096.455
6/4/2016,838.1041667,847.10875,839.67625,654.53,636.8425,926.9295833
6/5/2016,647.8329167,656.5960417,647.82875,645.2220833,624.4108333,932.9645833
6/6/2016,764.100625,765.801875,767.8570833,667.5066667,650.2183333,848.05625
